RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023
2892,538,Bonneville County,county,ID,ID,"Idaho Falls, ID",16,19,656.434328,662.5900901,668.0527208,673.3416153,678.6113013,682.141079,675.7032241,676.4093326,666.6158042,665.4704538,661.7322983,667.2225696,676.2976173,680.197938,690.0775347,698.9028226,707.1642471,712.5786595,705.5452391,709.5321569,704.4022583,708.2242668,704.7419435,711.9749222,717.96106,731.1755549,736.9419228,743.8882773,743.9477924,753.02002,757.0491534,756.3672059,758.5404343,760.0519353,765.5291172,764.6930807,770.7741375,780.707072,786.9830876,794.3721778,797.7146033,803.2038393,805.3793098,816.7101503,823.4530736,823.0498084,815.7757383,809.5110555,823.9296932,828.4372534,843.1574429,848.7170136,865.3557962,872.1470695,872.9885521,871.9893262,872.6503376,869.7618995,874.6358281,877.440874,885.5204216,885.4885886,892.9949327,904.4468503,920.7802707,934.7398438,942.8511983,951.5841327,959.0878217,970.2242465,985.3993274,1008.412637,1038.379041,1057.336646,1068.203038,1078.297607,1095.398858,1130.371659,1153.033991,1167.274619,1176.418073,1192.521758,1215.662028,1219.272768,1231.740535,1263.813356,1280.545412,1286.242113,1278.551423,1281.271171,1274.341329,1250.041981,1238.905628,1226.664749,1234.005682
2394,539,Lycoming County,county,PA,PA,"Williamsport, PA",42,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.5460962,903.9166718,878.586847,876.2948278,912.8455178,932.6240427,948.0628814,928.8403556,902.5
2748,540,Jefferson County,county,NY,NY,"Watertown-Fort Drum, NY",36,45,1073.976215,1021.997398,1016.575134,1021.489786,1095.815687,1085.046162,1095.704415,1110.65282,1106.791716,1089.706681,1073.133833,1058.677021,1057.939247,1049.570418,1071.680507,1074.989802,1083.478178,1100.626589,1091.879404,1088.249388,1075.51371,1079.990513,1081.903286,1080.595387,1100.188475,1103.637106,1097.539944,1090.856807,1081.402324,1085.874811,1078.70952,1083.653833,1094.087254,1102.21847,1108.34096,1100.980819,1097.052895,1103.065861,1112.098839,1126.236087,1121.514544,1114.25355,1097.319051,1091.326485,1086.206779,1093.974825,1103.137062,1111.826838,1112.616343,1115.629718,1125.729752,1116.349765,1111.271051,1094.585056,1042.42828,1056.426193,1074.091229,1150.925254,1144.047802,1149.472025,1148.087326,1159.846608,1169.346739,1172.752785,1168.009066,1167.197972,1175.796646,1176.682345,1175.067999,1184.550713,1199.744939,,1227.100861,1247.848203,1259.739296,1258.971898,1256.63896,1294.070913,1306.334909,1325.482598,1275.58716,1253.771382,1241.550493,1289.156953,1309.466342,1316.837953,1309.639564,1317.430857,1331.067213,1329.137713,1351.659681,1309.753338,1294.835646,1272.282849,1331.805861
1697,541,Fayette County,county,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13,113,1192.331287,1194.364046,1207.227134,1237.552819,1254.266016,1257.6694,1252.658594,1249.098323,1253.622569,1260.696977,1256.128224,1260.599881,1270.509047,1290.122949,1288.117215,1288.671249,1289.016185,1302.232535,1308.551906,1325.084887,1329.07321,1340.316115,1327.110627,1328.218312,1320.820157,1325.92608,1332.9418,1351.63503,1366.935319,1377.727092,1376.39026,1380.721282,1389.133686,1345.919902,1338.875751,1318.393518,1355.502623,1372.728994,1402.913568,1439.84206,1444.958055,1454.792383,1446.930085,1460.276789,1448.467012,1444.986627,1445.526192,1456.394597,1461.068375,1454.866455,1458.549547,1483.965211,1499.351541,1508.906139,1493.606475,1503.844153,1494.407613,1490.001285,1477.595496,1483.985268,1494.278363,1491.895207,1494.113699,1497.347868,1520.430592,1533.088714,1557.096446,1594.056756,1620.842163,1641.652636,1634.490635,1649.473452,1678.111385,1710.603815,1754.977402,1790.228207,1849.90278,1909.772364,1952.388193,1955.807194,1967.56575,1957.249421,1961.180947,1951.1118,1957.255865,1975.471427,1982.985868,2020.236782,2045.426553,2064.741804,2050.454466,2051.750477,2049.896937,2053.661589,2051.746078
3132,542,Saint Marys County,county,MD,MD,"California-Lexington Park, MD",24,37,1104.940562,1103.36994,1105.402675,1113.169427,1120.753741,1121.346232,1123.523434,1115.767205,1118.104662,1112.763415,1115.42543,1110.170275,1111.224552,1118.270215,1127.656662,1135.154282,1136.826881,1142.399432,1146.130624,1142.099109,1135.007355,1132.104597,1141.33539,1151.637443,1155.62021,1164.688412,1170.135628,1172.988184,1170.74999,1167.264922,1164.295618,1157.807727,1157.142087,1150.889957,1173.995739,1176.782702,1187.583681,1176.687989,1180.905582,1187.728347,1187.095829,1193.01585,1200.030323,1205.908885,1211.595975,1217.34135,1217.254359,1211.920656,1209.916957,1211.849064,1216.664783,1217.997116,1225.671114,1235.150217,1234.638894,1242.616835,1245.153601,1267.738212,1266.353843,1285.719691,1283.208179,1286.740288,1274.121011,1276.156215,1280.760598,1281.328505,1281.920114,1284.674531,1294.455133,1298.349554,1319.28065,1329.970781,1360.075193,1384.274328,1406.341879,1438.000015,1455.160373,1492.174493,1492.807704,1511.959512,1491.71126,1494.256178,1466.303404,1475.733561,1463.617522,1480.522381,1484.181115,1490.588403,1513.313326,1524.269724,1529.144008,1499.861835,1482.574808,1492.089775,1501.583333
3040,543,Terrebonne Parish,county,LA,LA,"Houma-Thibodaux, LA",22,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.857104,1085.917844,,1100.366581,1157.933014,1160.518754,1203.351515,1207.825305,1194.722222
1203,544,Mercer County,county,PA,PA,"Youngstown-Warren-Boardman, OH-PA",42,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.6494238,700.4528261,707.8089695,732.6967365,744.6609202,755.3385623,774.1855927,796.4746809,786.6666667
2997,545,Pennington County,county,SD,SD,"Rapid City, SD",46,103,,,,,,,,,,,,,,,1023.544297,1027.080637,1034.86724,1025.289147,1017.116252,1003.300131,1009.98774,1017.697228,1024.307994,1023.367023,1032.028204,1038.827282,1041.577647,1045.086323,1044.976529,1044.396703,1040.106461,1040.425763,1034.868112,1036.348877,1034.99348,1056.390383,1059.344742,1065.362874,1054.171366,1058.288852,1058.603667,1067.723184,1069.682733,1062.858314,1059.312645,1052.714134,1062.675661,1051.044934,1053.466615,1053.306302,1065.510656,1071.235715,1072.701146,1075.766859,1074.669789,1072.505168,1056.721267,1066.491051,1074.597758,1076.575042,1064.998926,1059.65097,1084.527022,1092.968386,1106.099842,1095.579468,1102.538671,1102.93835,1113.163488,1090.552898,1102.319049,1113.843435,1143.001522,1144.811864,1156.412336,1195.745497,1218.113996,1245.913569,1255.34423,1272.608929,1284.012675,1300.373196,1339.143153,1321.630363,1348.338214,1371.004972,1445.36878,1470.067348,1454.768165,1476.508925,1496.849537,1526.471498,1481.655106,1448.23489,1417.97619
2363,546,Kankakee County,county,IL,IL,"Kankakee, IL",17,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.4896189,847.2774507,857.5514161,856.4644478,859.3086723,867.7032191,867.6881888,870.9412432,869.1703752,871.6247673,875.0509436,893.9408797,902.7645195,895.646082,884.6855269,884.5025135,908.8566049,915.2758138,918.5435316,910.4285667,914.5481264,924.4672235,928.1407809,940.3054334,943.8047987,941.5549961,937.7671488,940.9357445,941.9097172,934.5763962,928.5375596,934.4210037,951.2081285,969.8120971,984.4033277,999.7055148,986.2018666,980.1937693,972.9886604,,1014.498195,1029.332867,1046.95146,1065.508603,1078.08365,1061.333384,1056.756534,1048.381409,1051.598985,1080.888548,1095.524601,1111.095322,1120.179182,1127.137873,1126.8424,1127.469694,1159.413723,1176.585343,1159.849514,1164.160816,1165.522857,1196.176119,1197.916667
2370,547,La Porte County,county,IN,IN,"Michigan City-La Porte, IN",18,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.6671436,933.5692364,959.6922588,,985.8343208,997.4494114,1008.074876,1015.479737,1005.691397,1008.454723,1009.646405,1013.465774,1038.083333
